ANO,MES,NCM,KG,FOB,FRETE,date,KG_,FOB_,FRETE_,KG_s,FOB_s,FRETE_s
2021,12,31054000-1,27625919.999999996,17699556,1209634,2021-12-01,7.441316749834175,7.247962372058501,6.082653985337078,0.2140970713161258,0.2977860314081951,0.24453914961451334
2022,3,31054000-1,24497999.999999996,19163976,803223,2022-03-01,7.38913063030664,7.282485618297875,5.9048361358443575,0.18985523627264017,0.32242499700303484,0.16237524879481718
2022,4,31054000-1,28783449.99999998,25077996,1426601,2022-04-01,7.459142847493723,7.399292828772913,6.154302524110803,0.22306809721125276,0.42192878369482695,0.28840325533297817
2022,5,31054000-1,47451119.99999996,37198381,1925359,2022-05-01,7.6762464676395865,7.570524038320953,6.284511719393896,0.36774525544618997,0.6258550814859059,0.38923690118663373
2022,6,31054000-1,40190972.99999996,42107864,2162976,2022-06-01,7.604128520335249,7.624363211580763,6.335051700610894,0.31147806000466427,0.7084574651773677,0.4372758066814991
2022,8,31054000-1,33505999.99999997,31585671,1427640,2022-08-01,7.5251225841582485,7.499490107397934,6.1546187076332375,0.25966854673829076,0.5314208559332549,0.2886133094234227
2022,9,31054000-1,20843442.000000022,22543579,1156360,2022-09-01,7.31896943814831,7.353022865417334,6.063093060446104,0.1615318801149219,0.37928704617008885,0.233768772699842
2022,11,31054000-1,13645400.000000002,11760691,1362636,2022-11-01,7.1349862710609955,7.070432839484227,6.134379858546443,0.10574600745830603,0.1978642259101836,0.2754714845001713
2023,1,31054000-1,16334503.00000001,12966516,883304,2023-01-01,7.213105924998102,7.112823300275807,5.94611019712319,0.12658694691358063,0.2181523131313344,0.17856518297854274
2023,2,31054000-1,25901100.0,18758829,1412669,2023-02-01,7.413318208628961,7.273205724516868,6.150040414988493,0.20072946539279501,0.31560837131241837,0.2855866301279025
2023,3,31054000-1,24218685.0,15902921,971309,2023-03-01,7.384150558594489,7.2014769015324385,5.987357412860399,0.187690504388458,0.26755752595792476,0.1963571081273142
2023,4,31054000-1,22836577.99999999,16125544,1216175,2023-04-01,7.358631026585205,7.207514374607338,6.084996071701516,0.17697897407232233,0.27130317299744894,0.2458615401877548
2023,6,31054000-1,36008474.999999985,20740001,1622913,2023-06-01,7.556404728893938,7.316808772992967,6.2102952390913915,0.2790630920433008,0.34894172427499737,0.32809155042763893
2023,7,31054000-1,26499722.000000007,13901169,849933,2023-07-01,7.423241317917968,7.1430513231966835,5.929384691741186,0.20536887297911488,0.2338779131027318,0.17181858523819102
2023,8,31054000-1,16676670.999999989,9762386,831792,2023-08-01,7.2221093610125875,6.989555975452833,5.920014739096283,0.12923879869149021,0.16424260906324334,0.16815102868886014
2023,9,31054000-1,23781051.0,10775325,458076,2023-09-01,7.37623104428663,7.032430378004743,5.6609375383584695,0.18429877722234736,0.18128537628212274,0.0925970590405643
2023,10,31054000-1,14695000.000000011,8021237,541260,2023-10-01,7.167169590408632,6.9042413484397684,5.733405933203824,0.11388056015199473,0.13494765931761735,0.10941432512289377
2008,7,31059090-0,7160980.000000012,1830513,303749,2008-07-01,6.854972460781052,6.262572817515948,5.482514856827943,0.05549080911797802,0.030788309101730672,0.06139684959298229
2010,11,31059090-0,1816000.0000000186,1622252,60349,2010-11-01,6.259115844185071,6.210118318252846,4.780670078110583,0.01406643654108039,0.027284303684058882,0.01218879799124404
