ANO,MES,k1,k2,k3,k4,k5,k6
2021,11,5250000.000000004,30380689.999999978,20644261.000000004,16633248.00000002,12264448.000000004,0.0
2021,12,0.0,96803719.9999999,26993016.999999996,0.0,8831506.00000001,0.0
2022,1,17999999.999999985,51541886.99999997,27625920.0,0.0,0.0,4110400.000000039
2022,2,15900000.0,74257789.99999994,0.0,19004842.999999996,6609000.000000002,0.0
2022,3,3598229.0000000065,28116668.999999985,0.0,0.0,6452594.000000012,0.0
2022,4,0.0,57447900.99999997,24498000.0,16501390.00000001,0.0,6630500.000000023
2022,5,4048000.0000000177,52231925.99999995,28783449.99999998,0.0,4033000.0000000168,2562080.0000000307
2022,6,0.0,88811375.99999993,47451119.99999996,46801059.99999997,7700000.0,3973810.0000000056
2022,7,0.0,80033239.99999994,40190972.99999996,0.0,5910300.000000003,0.0
2022,8,0.0,84173927.99999991,0.0,25899999.999999985,14249999.99999999,3990750.0000000168
2022,9,8149999.999999999,51083059.99999999,33505999.99999997,13503460.000000004,11004229.999999994,0.0
2022,10,6100000.000000013,42864095.99999997,20843442.000000022,0.0,9996496.000000007,4967900.00000004
2022,11,0.0,27228397.999999996,0.0,20399999.999999996,0.0,0.0
2022,12,10814839.999999996,43310275.99999997,13645400.000000002,30117179.999999996,10233290.00000002,0.0
2023,1,0.0,19672791.999999996,0.0,0.0,0.0,0.0
2023,2,5650000.000000003,47831838.99999997,16334503.00000001,21715045.00000001,0.0,7778200.000000034
2023,3,3300000.0000000065,14051459.000000004,25901100.0,0.0,2005645.0000000084,0.0
2023,4,0.0,0.0,24218685.0,30999999.999999966,0.0,3583000.0000000177
2023,5,11800000.000000006,51943227.99999996,22836577.99999999,37549253.99999999,0.0,0.0
2023,6,0.0,54906675.99999997,0.0,0.0,0.0,0.0
2023,7,0.0,58835430.99999995,36008474.999999985,37231376.99999996,8405699.000000011,0.0
2023,8,0.0,91427019.9999999,26499722.000000007,0.0,19320676.99999998,3028800.000000029
2023,9,4000000.0000000056,37734794.99999999,16676670.999999989,0.0,0.0,0.0
2023,10,3024113.0000000065,73774999.99999991,23781051.0,51600978.99999996,0.0,0.0
2023,11,0.0,37437365.99999998,14695000.000000011,34529999.999999985,9516500.000000011,1416000.0000000093
