ANO,MES,NCM,KG,31022100-0,31021010-0,31042090-0,31054000-0,31059090-1,31055900-2,grupo_mes
2021,11,31042090-0,222603396.99999982,23249999.99999999,22968248.000000034,178726296.99999982,75263198.0,4110400.000000039,21095954.000000015,3
2021,11,31054000-0,26993017.0,5250000.000000004,16633248.00000002,30380689.999999978,20644261.000000004,0.0,12264448.000000004,1
2021,11,31054000-0,54618937.0,5250000.000000004,16633248.00000002,127184409.99999988,47637278.0,0.0,21095954.000000015,2
2021,11,31054000-0,61409547.000000015,23249999.99999999,22968248.000000034,178726296.99999982,75263198.0,4110400.000000039,21095954.000000015,3
2021,11,31055900-2,8831506.00000001,5250000.000000004,16633248.00000002,30380689.999999978,20644261.000000004,0.0,12264448.000000004,1
2021,11,31055900-2,8831506.00000001,5250000.000000004,16633248.00000002,30380689.999999978,20644261.000000004,0.0,12264448.000000004,2
2021,11,31055900-2,15440506.000000011,23249999.99999999,22968248.000000034,81922576.99999994,48270181.0,4110400.000000039,12264448.000000004,3
2021,11,31059090-1,4110400.000000039,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,2
2021,11,31059090-1,4110400.000000039,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,3
2021,12,31021010-0,6335000.000000013,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,1
2021,12,31022100-0,17999999.999999985,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,1
2021,12,31042090-0,51541886.99999997,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,1
2021,12,31054000-0,27625920.0,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,1
2021,12,31059090-1,4110400.000000039,0.0,0.0,96803719.9999999,26993017.0,0.0,8831506.00000001,1
2022,1,31021010-0,19004843.0,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,1
2022,1,31021010-0,19004843.0,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,2
2022,1,31022100-0,15900000.0,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,1
2022,1,31022100-0,19498229.000000007,33899999.999999985,25339843.000000015,125799676.99999991,34416530.000000015,4110400.000000039,6609000.000000002,2
2022,1,31042090-0,74257789.99999994,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,1
2022,1,31042090-0,102374458.99999993,33899999.999999985,25339843.000000015,125799676.99999991,34416530.000000015,4110400.000000039,6609000.000000002,2
2022,1,31054000-0,6790610.000000013,17999999.999999985,6335000.000000013,51541886.99999997,27625920.0,4110400.000000039,0.0,1
