ANO,MES,NCM,KG,FOB,FRETE
2014,8,31042090,60643270.999999955,20020760,1744958
2014,8,31054000,5500000.000000004,2607211,86900
2014,8,31055900,192000.0000000112,205741,20686
2014,9,31022100,8407685.999999998,1059385,273000
2014,9,31042090,30910483.999999978,10295691,895875
2014,9,31054000,47858760.99999996,23143665,1116195
2014,9,31055900,7007054.000000011,3051992,165398
2014,10,31021010,26012404.999999985,7790960,798500
2014,10,31042090,69132685.99999993,22992268,1906752
2014,10,31054000,20462781.999999993,10207932,446053
2014,10,31055900,23875344.00000001,9570914,494334
2014,10,31059090,3901300.0000000056,3612946,105342
2014,11,31021010,3323500.0000000065,1240422,57565
2014,11,31022100,11574739.999999994,1759204,338250
2014,11,31042090,62566202.99999994,21217625,1677095
2014,11,31054000,9032296.999999998,4150916,401593
2014,11,31055900,15394298.0,5347988,670194
2014,11,31059090,2701300.0000000075,2497248,69842
2014,12,31021010,6300832.000000002,2210155,167832
2014,12,31042090,7737854.0,2611739,231630
2014,12,31054000,12044227.999999993,5639121,380227
2015,1,31021010,2681783.0000000075,852542,78750
2015,1,31042090,14295646.000000002,4681797,428750
2015,1,31054000,8254395.999999999,4158648,367125
2015,2,31022100,3000424.0000000065,665966,100500
2015,2,31042090,42669271.99999997,14324930,1173969
2015,2,31054000,9885436.999999996,5020617,246250
2015,2,31059090,2500800.0000000084,2013232,67647
2015,3,31022100,5380114.000000004,792078,154875
2015,3,31042090,10055111.999999996,3403462,275000
2015,3,31054000,8721161.999999998,4306176,233550
2015,4,31022100,2200700.0000000084,343146,55000
2015,4,31042090,18098491.999999996,6156826,491850
2015,4,31055900,15789984.0,6291016,392500
2015,5,31042090,23948297.99999999,7970500,626318
2015,5,31054000,10775228.999999996,5301570,263426
2015,6,31022100,4575998.000000005,699581,95625
2015,6,31042090,30635270.999999966,9671686,915000
2015,6,31054000,36921888.99999998,16859078,866378
2015,6,31055900,10229256.000000007,4752088,265104
2015,7,31022100,7000000.000000001,990150,178500
2015,7,31042090,17386979.999999996,5693295,398500
2015,7,31054000,14066826.000000004,6397069,316750
2015,7,31055900,18909177.999999996,7288978,469900
2015,8,31021010,3689138.0000000056,947289,68400
2015,8,31042090,61438581.99999994,19124770,1281868
2015,8,31054000,19242993.999999993,9557812,314792
2015,8,31055900,144000.00000001118,152431,15735
2015,9,31021010,4867613.000000004,1422953,90250
2015,9,31022100,8353952.999999999,1220100,212000
2015,9,31042090,88807111.99999994,27869555,2194847
2015,9,31054000,19629744.999999993,8758703,511812
2015,9,31055900,29474756.000000004,11964510,702394
2015,9,31059090,6150411.000000002,5758907,131932
2015,10,31022100,8446622.999999998,1041832,294000
2015,10,31042090,40048830.99999998,12075960,1055599
2015,10,31054000,14555784.000000002,6425910,359376
2015,11,31042090,23936356.99999999,6812677,615108
2015,11,31054000,11438585.000000006,5403734,274848
2015,11,31059090,5398567.000000004,4359094,118578
2015,12,31042090,24229766.0,6680342,554627
2015,12,31059090,1645207.0000000093,1549193,32500
2016,2,31042090,14008145.99999999,3584253,437330
2016,2,31054000,10809838.000000007,4500124,287663
2016,2,31055900,16230571.999999998,5947770,394450
2016,3,31042090,8976099.999999998,2884870,179522
2016,3,31054000,6259527.000000002,2161160,112595
2016,3,31055900,3339258.0000000168,1410404,73500
2016,4,31022100,4827151.000000004,653179,96390
2016,4,31042090,18066533.999999996,3814679,518320
2016,5,31042090,50783759.99999997,10643679,1147573
2016,5,31054000,10524009.999999996,3766588,211391
2016,5,31055900,8601030.00000001,3152422,174170
2016,5,31059090,5002000.000000004,3919786,111795
2016,6,31042090,7150088.000000001,1614368,128700
2016,7,31022100,5200000.000000004,646909,113100
2016,7,31042090,72533347.99999994,15634509,1571721
2016,7,31054000,38156040.99999997,13600219,638577
2016,8,31022100,8962329.999999998,1128192,157975
2016,8,31042090,35824873.99999997,7632801,804031
2016,8,31054000,27615042.999999993,9578475,412359
2016,8,31055900,19653837.999999993,6655126,415708
2016,9,31042090,29602664.999999993,5979409,560410
2016,9,31059090,1251300.0000000093,983899,25339
2016,10,31042090,23608956.999999985,4944275,489709
2016,10,31054000,15111251.0,5379736,201550
2016,12,31042090,5006440.000000004,1117819,102350
2017,1,31021010,30804901.999999978,6165050,619137
2017,1,31022100,6001866.000000003,713284,118800
2017,1,31042090,129030845.99999988,27785893,2873595
2017,1,31054000,59907489.99999995,20869062,1001753
2017,1,31059090,2610993.0000000075,2031967,63027
2017,2,31021010,5002676.000000004,1098482,109000
2017,2,31042090,10592961.000000007,2425739,311225
2017,2,31054000,8804387.999999998,3098000,152690
2017,2,31059090,1250000.0000000093,982876,25313
2017,3,31021010,5002341.000000004,1511247,83750
2017,3,31022100,13094598.000000004,1601334,312750
2017,3,31042090,23312647.0,5091609,424280
2017,3,31054000,8906956.999999998,2953880,151460
2017,3,31059090,1200727.0000000093,905813,21540
2017,4,31021010,5002340.000000004,1374732,83750
2017,4,31042090,24266409.999999985,5584424,557461
2017,4,31055900,20581312.000000004,6788545,542470
2017,4,31059090,2001612.0000000084,1509990,35907
2017,5,31022100,3040366.0000000075,372469,69750
2017,5,31042090,24557326.999999985,5800415,521260
2017,5,31054000,26516711.999999985,9960903,571800
2017,6,31042090,26321707.999999985,6576741,525083
2017,6,31054000,4017471.0000000056,1425334,79000
2017,6,31055900,8837552.00000001,3040970,173770
2017,6,31059090,1006154.0000000092,520358,14750
2017,7,31042090,33710560.999999985,8522620,635563
2017,7,31054000,34753593.999999985,12902507,743751
2017,7,31059090,4006654.0000000056,2771151,59007
2017,8,31022100,6503150.000000002,708211,164125
2017,8,31042090,74323942.99999994,18817948,1454594
2017,8,31054000,36478503.99999999,13575544,736856
2017,8,31055900,34372742.0,11028744,681842
2017,8,31059090,4011691.0000000056,2598770,59016
2017,9,31021010,25991058.99999997,1936336,259909
2017,9,31042090,52329944.999999955,13731565,884096
2017,9,31054000,30637053.99999999,10636608,620711
2017,9,31055900,21016681.999999993,7018914,386400
2017,10,31021010,9482048.999999998,2028901,157842
2017,10,31022100,7503833.0,799959,203963
2017,10,31042090,42192649.99999997,11544900,763524
2017,10,31054000,5210968.000000004,1898826,78278
2017,10,31055900,11985362.000000006,3978886,285354
2017,11,31021010,6792664.000000002,1252018,238640
2017,11,31042090,28453702.000000004,7549857,591020
2017,11,31054000,9068474.999999998,2943610,216000
2017,11,31059090,2501267.0000000075,1872534,41875
