ANO,MES,NCM,PAIS,URF,KG,FOB,FRETE,SEGURO,z_diff,z_score_KG,z_score_FOB
2022,1,31042090,676,517800,14899589.999999989,10094186,937161,2679,-1.8199120176129118,0.8686555896768332,2.055900125470787
2022,2,31042090,149,517800,16617999.999999989,7744565,925748,5369,-1.128204637561598,1.0609761841517216,1.4207192885499262
2022,2,31042090,676,517800,11498668.999999994,6405716,582570,1673,-0.9346678907553919,0.48803213632045683,1.058783798387616
2022,3,31042090,23,517800,72000.00000001024,52761,4067,0,0.4068709084453087,-0.790815039235886,-0.6586315949122254
2022,3,31042090,85,517800,17016659.99999999,3352828,891060,1389,0.07214198207623579,1.105593317544427,0.23348646112954222
2022,3,31042090,149,517800,7700000.0,4655490,509201,1316,-0.5864794844405872,0.06289361856664451,0.5856393995757863
2022,3,31042090,158,517800,17959210.999999985,9544788,819742,10706,-1.5707461875958375,1.211081512237719,1.9073795421755888
2022,3,31042090,676,517800,14700029.999999989,7207296,875050,1486,-1.0460539320745579,0.8463212818961472,1.2754775780478351
2022,4,31042090,158,517800,8509779.999999998,5952927,410246,6852,-0.9105824791900776,0.15352238061637347,0.93637984644449
2022,4,31042090,676,517800,43722145.99999995,25260950,2646880,7039,-4.97188493639007,4.0944114361894535,6.155981734760618
2022,5,31042090,23,517800,10024879.999999996,7066247,340000,1767,-1.1617112406616348,0.32308897571818446,1.237347334120474
2022,5,31042090,149,517800,27738839.99999997,14156793,1336701,3700,-2.4958270498084882,2.3055956637055615,3.154158148505373
2022,5,31042090,245,517800,10499999.999999996,11828625,319725,4070,-2.433511759484277,0.37626334088535,2.5247767722185737
2022,5,31042090,676,517800,40547655.999999955,23094422,2182500,7549,-4.490624062802263,3.7391296326882015,5.570297035716611
2022,6,31042090,23,517800,9999999.999999996,2740951,317500,1006,0.0067419513105573675,0.3203044618998668,0.06807572256675891
2022,6,31042090,85,517800,11699999.999999994,2134423,643149,650,0.22662762907832104,0.5105646504505095,-0.09588900308726607
2022,6,31042090,149,517800,37553109.999999955,22040731,2490792,9877,-4.304280906012119,3.4039867582272763,5.285449253356827
2022,6,31042090,158,517800,2700400.0000000075,850179,105181,202,0.27776262695081144,-0.49665040418499823,-0.4430629425143455
2022,6,31042090,676,517800,18079729.999999985,12378911,1019250,3287,-2.3329396232554647,1.2245697285106218,2.6735374114986246
2022,7,31042090,23,517800,44359164.99999994,31867608,1320723,7954,-6.736930168326317,4.165705174454359,7.941981501399535
2022,7,31042090,85,517800,4198700.000000006,847275,108544,286,0.32783377052010787,-0.3289640274170995,-0.44384799046480994
2022,7,31042090,149,517800,14399999.999999989,14168448,1077552,10036,-2.9377546274878106,0.8127425969721181,3.1573088833065657
2022,7,31042090,676,517800,21216062.99999998,12552400,1258302,3313,-2.276670816724138,1.5755810861209765,2.720437268205967
2022,8,31042090,23,517800,14156094.99999999,10754212,401153,2685,-2.022796063427994,0.7854452962142098,2.2343271428789255
2022,8,31042090,149,517800,13735464.999999993,12664867,718779,7753,-2.5531462541234315,0.7383693296788824,2.750840845287539
2022,8,31042090,158,517800,2500000.0000000075,509226,97375,382,0.36334148872105776,-0.5190787228823799,-0.5352338976984702
2022,8,31042090,383,517800,2200000.0000000075,1619403,80696,808,0.05335525534393898,-0.5526540502736699,-0.23511606763554074
2022,8,31042090,676,517800,18491499.999999985,12430668,1129140,2321,-2.3333862232636635,1.2706541037103267,2.6875290529491025
2022,9,31042090,23,517800,8013383.0,6550976,260400,1646,-1.08858386798858,0.09796674131285987,1.098052415909814
2022,9,31042090,149,517800,19399999.999999985,14666253,1117379,9507,-2.907854515426581,1.3723313868269498,3.2918821598151555
2022,9,31042090,676,517800,15450712.999999989,11337892,788325,3177,-2.1379981715990573,0.9303360402030662,2.392115292922685
2022,10,31042090,149,517800,4958398.000000004,4117100,490050,4369,-0.5311188445009097,-0.24394033052207248,0.44009464542615007
2022,10,31042090,383,517800,6600000.000000002,4858208,242088,2424,-0.6774650591347106,-0.060215915201418314,0.6404408287845492
2022,10,31042090,676,517800,15669999.999999989,17534373,1517068,5877,-3.8059000543761248,0.9548781495952455,4.067230550891614
2022,11,31042090,23,517800,20000275.99999998,8963279,482250,2183,-1.3464047558134606,1.439512930910729,1.7501782857614636
2022,11,31042090,149,517800,13299999.999999993,13068146,878129,3580,-2.676490484408463,0.6896330632040555,2.8598605947418583
2022,11,31042090,676,517800,10009999.999999996,5195809,811855,1155,-0.6565590060380625,0.3214236394795765,0.731705626692518
2022,12,31042090,149,517800,13402869.999999993,6482679,573497,4203,-0.8928354755783054,0.7011460429665288,1.0795894614081374
2022,12,31042090,676,517800,6269922.000000002,6115278,939715,1645,-1.028150770455786,-0.09715750491695896,0.9802687306751547
2023,1,31042090,23,517800,11057838.999999996,5528637,375450,1965,-0.7120651768263256,0.4386954310741159,0.8216801236819032
2023,1,31042090,149,517800,20910999.99999998,19793526,1585745,5494,-4.2442233709412776,1.5414391191210794,4.677954873355651
2023,1,31042090,676,517800,15862999.999999989,18217947,1288869,6385,-3.984344207917127,0.9764782768836421,4.252023377231411
2023,2,31042090,149,517800,3051459.0000000065,1945787,173308,751,-0.006868744363712154,-0.45736066798946884,-0.1468835985362357
2023,2,31042090,676,517800,10999999.999999996,5156015,536250,2408,-0.6132356311133659,0.4322222198708332,0.7209479827046457
2023,3,31042090,149,517800,5000000.000000004,2212500,337500,2873,-0.014873525940089269,-0.23928432795496435,-0.07478218875241376
2023,4,31042090,23,517800,7500414.0,6162727,212625,1543,-1.0005011782101374,0.04055640092425121,0.9930957761991172
2023,4,31042090,149,517800,26412295.999999974,17468199,924347,7810,-3.4346466526768977,2.157131833375724,4.04934151402039
2023,4,31042090,676,517800,18030517.999999985,9354268,1047500,3765,-1.5168966633952548,1.2190620318053547,1.8558756387587558
